Tarrlok	" Although the Hundred Year War has long passed, we are not living in a time of peace.  These revolutionaries who call themselves ""Equalists"" are not interested in equality at all. They just want to wage war against benders.  Chief Beifong was supposed to protect Republic City, but she was powerless to stop Amon's attack on the arena. She has failed us all. If we are to survive these dire times, our law enforcement needs new leadership."
Butler	Yes, Master ... Bolin. 
Bolin	 Master Bolin! Ha, I love this guy.  Now pat me dry.
Butler	As you wish. 
Bolin	 Don't forget Master Pabu.
Butler	Wouldn't dream of it, sir. 
Korra	 So, what do you have planned for us today? Let me guess, shopping, makeovers ...
Bolin	 Ooh, Ooh! I vote makeovers! 
Asami	 I had something a little more exciting in mind.
Asami	Pretty cool, huh?
Korra	 Way cooler than a makeover.
Asami	This is where Future Industries test-drives their Satomobiles. Ever been behind the wheel?
Korra	The only thing I know how to drive is a polar bear dog.
Asami	You want me to take you for a spin?
Korra	 Let's do it!
Korra	 That was amazing! I didn't think we'd make it.
Asami	Well, you can't be afraid to mix it up sometimes.
Korra	I gotta admit, I had you pegged wrong. I thought you were kind of ... prissy.  Eh-No offense!
Asami	 It's all right, people usually assume that I'm daddy's helpless little girl, but I can handle myself. I mean, I've been in self-defense classes since I was this high.  My dad made sure that I would always be able to protect myself.
Korra	Smart guy.
Bolin	Emergency, emergency coming through, beep beep! 
Korra	 Uh, is there another bathroom I can use?
Asami	We have a lady's powder room upstairs,  first door on your right. You can freshen up in there.
Korra	Thanks.
Asami	You're leaving? But I-I thought ...
Korra	 Uh, sorry! I forgot, I'm supposed to airsit, I mean babybend, I-I mean babysit the airbender kids. See you later!
Tenzin	So, you think Mr. Sato manufactured those gloves for the Equalists then framed Cabbage Corp?
Lin	That's a bold accusation, but what proof do you have?
Korra	Well, I don't exactly have proof, but I know what I heard. Sato's up to something.
Lin	He does have the means ... and he has a motive.
Tenzin	That's right.
Korra	 A motive? What is it?
Tenzin	Twelve years ago, the Agni Kai Triad robbed Sato's mansion. A firebender killed Sato's wife during the break in.
Korra	 That's terrible.
Tenzin	It was tragic. It's possible that he's been harboring anti-bending sentiment all this time.
Lin	Maybe we should look at Mr. Sato a little more closely.
Mako	 What's going on? Why are they asking Hiroshi more questions?
Korra	I overheard him on the phone yesterday. Asami, I don't know how to tell you this, but I think your father might be involved with the Equalists.
Asami	 What? I don't believe this. 
Mako	You spied on Hiroshi?  What's your problem? 
Lin	Mr. Sato, we just have a few follow-up questions for you.
Asami	 My father is innocent. Just because we're not benders doesn't mean we support those awful Equalists. 
Mako	[To Korra.] Yeah, you don't know what you're talking about, Korra.
Korra	 I overheard you on the phone. You said the Cabbage Corp investigation bought you time, and you're getting ready to strike. Explain that!
Tenzin	[Turning to Hiroshi Sato.] In order to put all suspicions to rest, might we have a look into your factories and warehouses?
News reporter	[Narrating a newsreel.] Is it possible, presidents of Cabbage Corp and Future Industries both have Equalist ties, or did Hiroshi Sato frame his longtime rival, Lau Gan-Lan? [Korra stands beside Naga as she sniffs the boxes.] Or did Chief Beifong just plain arrest the wrong man? [Lin breaks open a box to see the contents.] So far the investigation has yielded no evidence to incriminate Sato. [Wider shot where metalbender cops check inside the boxes.]
Korra	I can't believe we didn't find anything.
Lin	It would appear Hiroshi is innocent.
Asami	 Okay, you did your search. Now you can all leave.
Lin	 Hmm.
Mako	So, I hope you're convinced now.
Korra	No, I'm not! I don't care how cooperative Hiroshi is being, I know he's lying.
Mako	 Why are you doing this? Are you that jealous of me and Asami? 
Korra	 What?  Don't be ridiculous! That has nothing to do with it!
Mako	 If you don't drop this, consider our friendship over.
Korra	I'm sorry. Hiroshi is not the man you think he is.
Mako	 Hmph.
Korra	" I think you guys should hear this.  ""If you want to find the truth, meet me under the north end of the Silk Road Bridge at midnight."" "
Lin	[Curiously.] What do you have on Hiroshi Sato?
Korra	[Confidently.] I knew it!
Tenzin	[Lifting his hand in confusion.] We searched all of Future Industries and found nothing.
Korra	[Determined.] Where?
Tenzin	Raiding the Sato Mansion is a risky move with Tarrlok breathing down your neck. If we're wrong ...
Lin	I know. I can kiss my job goodbye. But protecting Republic City is all I care about. We can't let Amon get his hands on this new weapon.
Asami	 What are you doing here?
Lin	We have a reason to believe that there's a factory hidden below the mansion.
Asami	 I think I would've noticed if there were a factory underneath my house. The lies you people come up with just to persecute my father.
Tenzin	Where is your father?
Asami	In his workshop, behind the house.
Asami	 Dad? Hello?
Officer	 Chief, the estate's been secured. No one has left the workshop since we arrived.
Lin	Perhaps we just couldn't see him leaving.
Lin	There's a tunnel beneath the workshop running deep into the mountainside.
Asami	 What? There's no tunnel. 
Bolin	 Do you think your dad knows about this tunnel?
Asami	 I don't understand. There must be an explanation.
Korra	 Maybe you don't know everything about your father.  I'm sorry.
Lin	 Officers,  into the tunnel. Be cautious.  Uh-uh, you three stay up here.  Officer Song, keep an eye on them.
Lin	Not your average backyard workshop.
Korra	 And I'm guessing those are the new weapons. 
Tenzin	Hiroshi was lying all right, but where is he? 
Bolin	What was that?
Mako	We need to get down there and see what's going on.
Song	 Absolutely not. You're staying put until the chief comes back.
Mako	 All right, we'll stay put. But could we wait outside or something? It's so dusty in this workshop.
Song	No! We're waiting right here!
Mako	Okay, but don't blame me if I start sne-  if I start sn-sn-sneez- 
Song	What's your problem, bub?
Mako	I'm about to-  Sorry pal, we know you were just doing your job.
Bolin	Yeah, just stay put until the chief comes back. That's sounds very familiar doesn't it, why? Because you said it. 
Mako	Asami, you should stay here. We'll check it out.
Asami	 I have to find out the truth about my father.
Mako	I understand. That's why I'm going down, to find out for you. Please.
Asami	 All right.  Be careful.
Korra	[Angrily and accusing.] Hiroshi, I knew you were a lying, no good Equalist! Come out here and-
Lin	That source was a set-up! You lured us down here! [The mecha tanks come closer to surround the benders.]
Tenzin	Korra!
Bolin	Oh no.
Mako	Korra was right. We gotta do something, quick!
Bolin	[Mako drops Lin's arm. Bolin does the same and uses Tenzin's arms to express his surprise.] Hello, Mr. Sato. Wow! What a really swell, scary factory you have here under your giant mansion.
Mako	 Sponsoring our team, supporting the Avatar. It was all just a big cover.
Asami	Dad, stop! [Hiroshi turns around in surprise. Asami closes her eyes and turns her head away before looking back at her father in sadness.] Why?
Mako	[In disbelief.] No ...
Asami	 I love you, Dad.
Mako	 Let's get out of here!
Lin	 My metalbenders are on their way to Amon, and it's all my fault. Tarrlok's right, I've failed as chief. First thing in the morning, I'm handing in my resignation.
Tenzin	 No! You can't give up like this!
Lin	 I'm not giving up. I'm gonna find my officers and take Amon down. But I'm gonna do it my way, outside the law. 
Mako	 I'm sorry I didn't believe you. But Asami's dad being an Equalist is not an easy thing to believe. Even now.
Korra	I know. I'm sorry this whole thing happened.
Mako	So ... does your offer to live in the Air Temple still stand?
Korra	 Of course it does. And Asami's welcome, too.
Mako	 Thank you so much.
Korra	 After everything she's been through, she's going to need you, Mako.
